Players,Custom,fideID
"Vetokhin, Savva",https://players.chessbase.com/en/player/Vetokhin_%20Savva,44144474
"Atalik, Suat",https://players.chessbase.com/en/player/Atalik_%20Suat,14401487
"Dudin, Gleb",https://players.chessbase.com/en/player/Dudin_%20Gleb,34184934
"Ratkovic, Milovan",https://players.chessbase.com/en/player/Ratkovic_%20Milovan,914525
"Durak, Can",https://players.chessbase.com/en/player/Durak_%20Can,44552971
"Potpara, Nikola",https://players.chessbase.com/en/player/Potpara_%20Nikola,910058
"Stankovic, Milos",https://players.chessbase.com/en/player/Stankovic_%20Milos,938190
"Abramovic, Bosko",https://players.chessbase.com/en/player/Abramovic_%20Bosko,900206
"Kosic, Dragan",https://players.chessbase.com/en/player/Kosic_%20Dragan,900290
"Shahil, Dey",https://players.chessbase.com/en/player/Shahil_%20Dey,35062352
"Injac, Teodora",https://players.chessbase.com/en/player/Injac_%20Teodora,932400
"Mijatovic, Dusan",https://players.chessbase.com/en/player/Mijatovic_%20Dusan,966738
"Doshi, Moksh Amitbhai",https://players.chessbase.com/en/player/Doshi_%20Moksh%20Amitbhai,25064967
"Milosevic, Milos",https://players.chessbase.com/en/player/Milosevic_%20Milos,964875
"Lajthajm, Borko",https://players.chessbase.com/en/player/Lajthajm_%20Borko,916358
"Czebe, Attila",https://players.chessbase.com/en/player/Czebe_%20Attila,705268
"Bryakin, Mikhail",https://players.chessbase.com/en/player/Bryakin_%20Mikhail,4165314
"Sedlak, Nikola",https://players.chessbase.com/en/player/Sedlak_%20Nikola,922900
"Haldorsen, Benjamin",https://players.chessbase.com/en/player/Haldorsen_%20Benjamin,1512633
"Kaasen, Tor Fredrik",https://players.chessbase.com/en/player/Kaasen_%20Tor%20Fredrik,1516647
"Nikitenko, Mihail",https://players.chessbase.com/en/player/Nikitenko_%20Mihail,13506862
"Yankelevich, Lev",https://players.chessbase.com/en/player/Yankelevich_%20Lev,24684074
"Mohammad, Nubairshah Shaikh",https://players.chessbase.com/en/player/Mohammad_%20Nubairshah%20Shaikh,5053196
"Pranav, Anand",https://players.chessbase.com/en/player/Pranav_%20Anand,46626786
"Thybo, Jesper Sondergaard",https://players.chessbase.com/en/player/Thybo_%20Jesper%20Sondergaard,1438832
"Utegaliev, Azamat",https://players.chessbase.com/en/player/Utegaliev_%20Azamat,13702467
"Travadon, Loic",https://players.chessbase.com/en/player/Travadon_%20Loic,26092131
"Rakotomaharo, Fy Antenaina",https://players.chessbase.com/en/player/Rakotomaharo_%20Fy%20Antenaina,13100050
"Kotronias, Vasilios",https://players.chessbase.com/en/player/Kotronias_%20Vasilios,5900212
"Cassi, Elisa",https://players.chessbase.com/en/player/Cassi_%20Elisa,2817220
"Cacinschi, Alexandru",https://players.chessbase.com/en/player/Cacinschi_%20Alexandru,829420
"Solomon, Kenny",https://players.chessbase.com/en/player/Solomon_%20Kenny,14300192
